,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
2777,2790.0,135.48936,0.91016376,2.2478418,0.69043565,1.0,1.0,0.59523,EBONI-01ST
2778,2790.5,134.86243,0.8185594,2.2574592,0.7327069,1.0,1.0,0.6284713,EBONI-01ST
2779,2791.0,132.65706,0.58348566,2.2838614,0.7650599,1.0,1.0,0.64580625,EBONI-01ST
2780,2791.5,130.45932,0.49480417,2.3060057,0.80006576,1.0,1.0,0.6576331,EBONI-01ST
2781,2792.0,130.28001,0.48867333,2.312045,0.8269783,1.0,1.0,0.65321004,EBONI-01ST
2782,2792.5,131.7079,0.46419603,2.3052142,0.8263493,1.0,1.0,0.6054279,EBONI-01ST
2783,2793.0,132.33105,0.46459594,2.2891104,0.7973594,1.0,1.0,0.58854705,EBONI-01ST
2784,2793.5,131.91063,0.4504779,2.290515,0.77261,1.0,1.0,0.5613369,EBONI-01ST
2785,2794.0,133.57695,0.4490471,2.2928958,0.7372124,1.0,1.0,0.5568835,EBONI-01ST
2786,2794.5,135.7779,0.49700803,2.2754555,0.7141267,1.0,1.0,0.5879167,EBONI-01ST
2787,2795.0,134.23466,0.5476017,2.2723577,0.7445275,1.0,1.0,0.5871854,EBONI-01ST
2788,2795.5,134.11926,0.60964733,2.270467,0.7936021,1.0,1.0,0.5769126,EBONI-01ST
2789,2796.0,133.63103,0.56471825,2.2699742,0.86983824,1.0,1.0,0.5509495,EBONI-01ST
2790,2796.5,129.786,0.43134496,2.294997,0.9376655,1.0,1.0,0.5169878,EBONI-01ST
2791,2797.0,126.83032,0.43374884,2.2955823,0.9424459,1.0,1.0,0.519893,EBONI-01ST
2792,2797.5,124.86277,0.47381002,2.289837,0.928393,1.0,1.0,0.55505556,EBONI-01ST
2793,2798.0,124.97177,0.4817856,2.3040462,0.95034194,1.0,1.0,0.56306994,EBONI-01ST
2794,2798.5,124.74432,0.44730356,2.3140528,1.0084335,1.0,1.0,0.5452777,EBONI-01ST
2795,2799.0,123.8046,0.41909412,2.3270652,1.044413,1.0,1.0,0.5374105,EBONI-01ST
2796,2799.5,122.86285,0.4070763,2.3363554,1.0399424,1.0,1.0,0.5232013,EBONI-01ST
2797,2800.0,123.39749,0.45559883,2.3246574,0.9713488,1.0,1.0,0.5433976,EBONI-01ST
2798,2800.5,128.23917,0.5744518,2.28883,0.9006641,1.0,1.0,0.6154636,EBONI-01ST
2799,2801.0,131.82693,0.5754426,2.275791,0.91835684,1.0,1.0,0.6177906,EBONI-01ST
2800,2801.5,129.1608,0.46295565,2.2836275,1.0570588,1.0,1.0,0.5352687,EBONI-01ST
2801,2802.0,125.69997,0.46501365,2.2734733,1.1794727,1.0,1.0,0.52454466,EBONI-01ST
2802,2802.5,122.64736,0.46745414,2.3003957,1.1827528,1.0,1.0,0.54032767,EBONI-01ST
2803,2803.0,121.80676,0.40797216,2.3407052,1.0601121,1.0,1.0,0.5125907,EBONI-01ST
2804,2803.5,126.18558,0.41018414,2.323241,0.9451323,1.0,1.0,0.51261944,EBONI-01ST
2805,2804.0,127.537056,0.46834996,2.3281922,0.9283879,1.0,1.0,0.5329789,EBONI-01ST
2806,2804.5,127.34512,0.4992444,2.3508158,0.96845865,1.0,1.0,0.5496369,EBONI-01ST
